naughty  becomes       charsets
0xC827   0xC85C 0x27   UCS-2 [졜] UCS-2BE [졜] UCS-2LE [峈] UTF-16 [졜] UTF-16BE [졜] UTF-16LE [峈] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [萛] EUC-CN [?] CP936 [萛] EUC-TW [?] BIG-5 [] CP950 [] EUC-KR [?] UHC [퓟]
0xC927   0xC95C 0x27   UCS-2 [쥜] UCS-2BE [쥜] UCS-2LE [峉] UTF-16 [쥜] UTF-16BE [쥜] UTF-16LE [峉] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [蒤] EUC-CN [?] CP936 [蒤] EUC-TW [?] BIG-5 [尐] CP950 [尐] EUC-KR [?\] UHC [?\]
0xCA27   0xCA5C 0x27   UCS-2 [쩜] UCS-2BE [쩜] UCS-2LE [峊] UTF-16 [쩜] UTF-16BE [쩜] UTF-16LE [峊] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [蔦] EUC-CN [?] CP936 [蔦] EUC-TW [?] BIG-5 [佢] CP950 [佢] EUC-KR [?] UHC [?]
0xCB27   0xCB5C 0x27   UCS-2 [쭜] UCS-2BE [쭜] UCS-2LE [峋] UTF-16 [쭜] UTF-16BE [쭜] UTF-16LE [峋] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [薥] EUC-CN [?] CP936 [薥] EUC-TW [?] BIG-5 [汻] CP950 [汻] EUC-KR [?] UHC [跏]
0xCC27   0xCC5C 0x27   UCS-2 [챜] UCS-2BE [챜] UCS-2LE [峌] UTF-16 [챜] UTF-16BE [챜] UTF-16LE [峌] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [蘚] EUC-CN [?] CP936 [蘚] EUC-TW [?] BIG-5 [岤] CP950 [岤] EUC-KR [?] UHC [襁]
0xCD27   0xCD5C 0x27   UCS-2 [최] UCS-2BE [최] UCS-2LE [峍] UTF-16 [최] UTF-16BE [최] UTF-16LE [峍] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [蚛] EUC-CN [?] CP936 [蚛] EUC-TW [?] BIG-5 [狖] CP950 [狖] EUC-KR [?] UHC [遣]
0xCE27   0xCE5C 0x27   UCS-2 [친] UCS-2BE [친] UCS-2LE [峎] UTF-16 [친] UTF-16BE [친] UTF-16LE [峎] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [蝄] EUC-CN [?] CP936 [蝄] EUC-TW [?] BIG-5 [垥] CP950 [垥] EUC-KR [?] UHC [故]
0xCF27   0xCF5C 0x27   UCS-2 [콜] UCS-2BE [콜] UCS-2LE [峏] UTF-16 [콜] UTF-16BE [콜] UTF-16LE [峏] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [蟎] EUC-CN [?] CP936 [蟎] EUC-TW [?] BIG-5 [柦] CP950 [柦] EUC-KR [?] UHC [觀]
0xD027   0xD05C 0x27   UCS-2 [큜] UCS-2BE [큜] UCS-2LE [峐] UTF-16 [큜] UTF-16BE [큜] UTF-16LE [峐] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [衆] EUC-CN [?] CP936 [衆] EUC-TW [?] BIG-5 [胐] CP950 [胐] EUC-KR [?] UHC [瞿]
0xD127   0xD15C 0x27   UCS-2 [템] UCS-2BE [템] UCS-2LE [峑] UTF-16 [템] UTF-16BE [템] UTF-16LE [峑] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [裓] EUC-CN [?] CP936 [裓] EUC-TW [?] BIG-5 [娖] CP950 [娖] EUC-KR [?] UHC [克]
0xD227   0xD25C 0x27   UCS-2 [퉜] UCS-2BE [퉜] UCS-2LE [峒] UTF-16 [퉜] UTF-16BE [퉜] UTF-16LE [峒] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [襖] EUC-CN [?] CP936 [襖] EUC-TW [?] BIG-5 [涂] CP950 [涂] EUC-KR [?] UHC [紀]
0xD327   0xD35C 0x27   UCS-2 [퍜] UCS-2BE [퍜] UCS-2LE [峓] UTF-16 [퍜] UTF-16BE [퍜] UTF-16LE [峓] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [覾] EUC-CN [?] CP936 [覾] EUC-TW [?] BIG-5 [罡] CP950 [罡] EUC-KR [?] UHC [捻]
0xD427   0xD45C 0x27   UCS-2 [표] UCS-2BE [표] UCS-2LE [峔] UTF-16 [표] UTF-16BE [표] UTF-16LE [峔] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [診] EUC-CN [?] CP936 [診] EUC-TW [?] BIG-5 [偅] CP950 [偅] EUC-KR [?] UHC [啖]
0xD527   0xD55C 0x27   UCS-2 [한] UCS-2BE [한] UCS-2LE [峕] UTF-16 [한] UTF-16BE [한] UTF-16LE [峕] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [誠] EUC-CN [?] CP936 [誠] EUC-TW [?] BIG-5 [惝] CP950 [惝] EUC-KR [?] UHC [牘]
0xD627   0xD65C 0x27   UCS-2 [활] UCS-2BE [활] UCS-2LE [峖] UTF-16 [활] UTF-16BE [활] UTF-16LE [峖] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [謀] EUC-CN [?] CP936 [謀] EUC-TW [?] BIG-5 [牾] CP950 [牾] EUC-KR [?] UHC [擥]
0xD727   0xD75C 0x27   UCS-2 [흜] UCS-2BE [흜] UCS-2LE [峗] UTF-16 [흜] UTF-16BE [흜] UTF-16LE [峗] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [譢] EUC-CN [?] CP936 [譢] EUC-TW [?] BIG-5 [莍] CP950 [莍] EUC-KR [?] UHC [嶺]
0xD827   0xD85C 0x27   UCS-2 [�] UCS-2BE [�] UCS-2LE [峘] UTF-16LE [峘] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [豛] EUC-CN [?] CP936 [豛] EUC-TW [?] BIG-5 [傜] CP950 [傜] EUC-KR [?] UHC [留]
0xD927   0xD95C 0x27   UCS-2 [�] UCS-2BE [�] UCS-2LE [峙] UTF-16LE [峙] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [賊] EUC-CN [?] CP936 [賊] EUC-TW [?] BIG-5 [揊] CP950 [揊] EUC-KR [?] UHC [曼]
0xDA27   0xDA5C 0x27   UCS-2 [�] UCS-2BE [�] UCS-2LE [峚] UTF-16LE [峚] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [赲] EUC-CN [?] CP936 [赲] EUC-TW [?] BIG-5 [焮] CP950 [焮] EUC-KR [?] UHC [暮]
0xDB27   0xDB5C 0x27   UCS-2 [�] UCS-2BE [�] UCS-2LE [峛] UTF-16LE [峛] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [踈] EUC-CN [?] CP936 [踈] EUC-TW [?] BIG-5 [茻] CP950 [茻] EUC-KR [?] UHC [謎]
0xDC27   0xDC5C 0x27   UCS-2 [�] UCS-2BE [�] UCS-2LE [峜] UTF-16 [?] UTF-16BE [?] UTF-16LE [峜] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [躙] EUC-CN [?] CP936 [躙] EUC-TW [?] BIG-5 [鄃] CP950 [鄃] EUC-KR [?] UHC [舫]
0xDD27   0xDD5C 0x27   UCS-2 [�] UCS-2BE [�] UCS-2LE [峝] UTF-16 [?] UTF-16BE [?] UTF-16LE [峝] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [輁] EUC-CN [?] CP936 [輁] EUC-TW [?] BIG-5 [幋] CP950 [幋] EUC-KR [?] UHC [甁]
0xDE27   0xDE5C 0x27   UCS-2 [�] UCS-2BE [�] UCS-2LE [峞] UTF-16 [?] UTF-16BE [?] UTF-16LE [峞] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [轡] EUC-CN [?] CP936 [轡] EUC-TW [?] BIG-5 [滜] CP950 [滜] EUC-KR [?] UHC [趺]
0xDF27   0xDF5C 0x27   UCS-2 [�] UCS-2BE [�] UCS-2LE [峟] UTF-16 [?] UTF-16BE [?] UTF-16LE [峟] UTF-8 [?\] EUC-JP [?] eucJP-win [?] EUC-JP-2004 [?] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP51932 [?] GB18030 [運] EUC-CN [?] CP936 [運] EUC-TW [?] BIG-5 [綅] CP950 [綅] EUC-KR [?] UHC [頻]
0xE027   0xE05C 0x27   UCS-2 [] UCS-2BE [] UCS-2LE [峠] UTF-16 [] UTF-16BE [] UTF-16LE [峠] UTF-8 [?\] EUC-JP [?] SJIS [濬] eucJP-win [?] EUC-JP-2004 [?] SJIS-win [濬] SJIS-Mobile#DOCOMO [濬] SJIS-Mobile#KDDI [濬] SJIS-Mobile#SOFTBANK [濬] SJIS-mac [濬] SJIS-2004 [濬] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP932 [濬] CP51932 [?] GB18030 [郳] EUC-CN [?] CP936 [郳] EUC-TW [?] BIG-5 [赨] CP950 [赨] EUC-KR [?] UHC [揷]
0xE127   0xE15C 0x27   UCS-2 [] UCS-2BE [] UCS-2LE [峡] UTF-16 [] UTF-16BE [] UTF-16LE [峡] UTF-8 [?\] EUC-JP [?] SJIS [畚] eucJP-win [?] EUC-JP-2004 [?] SJIS-win [畚] SJIS-Mobile#DOCOMO [畚] SJIS-Mobile#KDDI [畚] SJIS-Mobile#SOFTBANK [畚] SJIS-mac [畚] SJIS-2004 [畚] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP932 [畚] CP51932 [?] GB18030 [醆] EUC-CN [?] CP936 [醆] EUC-TW [?] BIG-5 [塿] CP950 [塿] EUC-KR [?] UHC [僊]
0xE227   0xE25C 0x27   UCS-2 [] UCS-2BE [] UCS-2LE [峢] UTF-16 [] UTF-16BE [] UTF-16LE [峢] UTF-8 [?\] EUC-JP [?] SJIS [秉] eucJP-win [?] EUC-JP-2004 [?] SJIS-win [秉] SJIS-Mobile#DOCOMO [秉] SJIS-Mobile#KDDI [秉] SJIS-Mobile#SOFTBANK [秉] SJIS-mac [秉] SJIS-2004 [秉] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP932 [秉] CP51932 [?] GB18030 [鈂] EUC-CN [?] CP936 [鈂] EUC-TW [?] BIG-5 [槙] CP950 [槙] EUC-KR [?] UHC [梳]
0xE327   0xE35C 0x27   UCS-2 [] UCS-2BE [] UCS-2LE [峣] UTF-16 [] UTF-16BE [] UTF-16LE [峣] UTF-8 [?\] EUC-JP [?] SJIS [綵] eucJP-win [?] EUC-JP-2004 [?] SJIS-win [綵] SJIS-Mobile#DOCOMO [綵] SJIS-Mobile#KDDI [綵] SJIS-Mobile#SOFTBANK [綵] SJIS-mac [綵] SJIS-2004 [綵] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP932 [綵] CP51932 [?] GB18030 [鉢] EUC-CN [?] CP936 [鉢] EUC-TW [?] BIG-5 [箤] CP950 [箤] EUC-KR [?] UHC [羞]
0xE427   0xE45C 0x27   UCS-2 [] UCS-2BE [] UCS-2LE [峤] UTF-16 [] UTF-16BE [] UTF-16LE [峤] UTF-8 [?\] EUC-JP [?] SJIS [臀] eucJP-win [?] EUC-JP-2004 [?] SJIS-win [臀] SJIS-Mobile#DOCOMO [臀] SJIS-Mobile#KDDI [臀] SJIS-Mobile#SOFTBANK [臀] SJIS-mac [臀] SJIS-2004 [臀] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP932 [臀] CP51932 [?] GB18030 [鋅] EUC-CN [?] CP936 [鋅] EUC-TW [?] BIG-5 [踊] CP950 [踊] EUC-KR [?] UHC [屎]
0xE527   0xE55C 0x27   UCS-2 [] UCS-2BE [] UCS-2LE [峥] UTF-16 [] UTF-16BE [] UTF-16LE [峥] UTF-8 [?\] EUC-JP [?] SJIS [藹] eucJP-win [?] EUC-JP-2004 [?] SJIS-win [藹] SJIS-Mobile#DOCOMO [藹] SJIS-Mobile#KDDI [藹] SJIS-Mobile#SOFTBANK [藹] SJIS-mac [藹] SJIS-2004 [藹] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP932 [藹] CP51932 [?] GB18030 [錦] EUC-CN [?] CP936 [錦] EUC-TW [?] BIG-5 [嫹] CP950 [嫹] EUC-KR [?] UHC [雅]
0xE627   0xE65C 0x27   UCS-2 [] UCS-2BE [] UCS-2LE [峦] UTF-16 [] UTF-16BE [] UTF-16LE [峦] UTF-8 [?\] EUC-JP [?] SJIS [觸] eucJP-win [?] EUC-JP-2004 [?] SJIS-win [觸] SJIS-Mobile#DOCOMO [觸] SJIS-Mobile#KDDI [觸] SJIS-Mobile#SOFTBANK [觸] SJIS-mac [觸] SJIS-2004 [觸] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP932 [觸] CP51932 [?] GB18030 [鎈] EUC-CN [?] CP936 [鎈] EUC-TW [?] BIG-5 [潿] CP950 [潿] EUC-KR [?] UHC [佯]
0xE727   0xE75C 0x27   UCS-2 [] UCS-2BE [] UCS-2LE [峧] UTF-16 [] UTF-16BE [] UTF-16LE [峧] UTF-8 [?\] EUC-JP [?] SJIS [軆] eucJP-win [?] EUC-JP-2004 [?] SJIS-win [軆] SJIS-Mobile#DOCOMO [軆] SJIS-Mobile#KDDI [軆] SJIS-Mobile#SOFTBANK [軆] SJIS-mac [軆] SJIS-2004 [軆] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP932 [軆] CP51932 [?] GB18030 [鏫] EUC-CN [?] CP936 [鏫] EUC-TW [?] BIG-5 [蔌] CP950 [蔌] EUC-KR [?] UHC [繹]
0xE827   0xE85C 0x27   UCS-2 [] UCS-2BE [] UCS-2LE [峨] UTF-16 [] UTF-16BE [] UTF-16LE [峨] UTF-8 [?\] EUC-JP [?] SJIS [鐔] eucJP-win [?] EUC-JP-2004 [?] SJIS-win [鐔] SJIS-Mobile#DOCOMO [鐔] SJIS-Mobile#KDDI [鐔] SJIS-Mobile#SOFTBANK [鐔] SJIS-mac [鐔] SJIS-2004 [鐔] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP932 [鐔] CP51932 [?] GB18030 [鑌] EUC-CN [?] CP936 [鑌] EUC-TW [?] BIG-5 [醆] CP950 [醆] EUC-KR [?] UHC [瀛]
0xE927   0xE95C 0x27   UCS-2 [] UCS-2BE [] UCS-2LE [峩] UTF-16 [] UTF-16BE [] UTF-16LE [峩] UTF-8 [?\] EUC-JP [?] SJIS [饅] eucJP-win [?] EUC-JP-2004 [?] SJIS-win [饅] SJIS-Mobile#DOCOMO [饅] SJIS-Mobile#KDDI [饅] SJIS-Mobile#SOFTBANK [饅] SJIS-mac [饅] SJIS-2004 [饅] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP932 [饅] CP51932 [?] GB18030 [閈] EUC-CN [?] CP936 [閈] EUC-TW [?] BIG-5 [嬞] CP950 [嬞] EUC-KR [?] UHC [翁]
0xEA27   0xEA5C 0x27   UCS-2 [] UCS-2BE [] UCS-2LE [峪] UTF-16 [] UTF-16BE [] UTF-16LE [峪] UTF-8 [?\] EUC-JP [?] SJIS [鷭] eucJP-win [?] EUC-JP-2004 [?] SJIS-win [鷭] SJIS-Mobile#DOCOMO [鷭] SJIS-Mobile#KDDI [鷭] SJIS-Mobile#SOFTBANK [鷭] SJIS-mac [鷭] SJIS-2004 [鷭] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP932 [鷭] CP51932 [?] GB18030 [闬] EUC-CN [?] CP936 [闬] EUC-TW [?] BIG-5 [獦] CP950 [獦] EUC-KR [?] UHC [墉]
0xEB27   0xEB5C 0x27   UCS-2 [] UCS-2BE [] UCS-2LE [峫] UTF-16 [] UTF-16BE [] UTF-16LE [峫] UTF-8 [?\] EUC-JP [?] SJIS [?] eucJP-win [?] EUC-JP-2004 [?] SJIS-win [?] SJIS-Mobile#DOCOMO [?] SJIS-Mobile#KDDI [?] SJIS-Mobile#SOFTBANK [?] SJIS-mac [︱] SJIS-2004 [晡] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP932 [?] CP51932 [?] GB18030 [隲] EUC-CN [?] CP936 [隲] EUC-TW [?] BIG-5 [螏] CP950 [螏] EUC-KR [?] UHC [爰]
0xEC27   0xEC5C 0x27   UCS-2 [] UCS-2BE [] UCS-2LE [峬] UTF-16 [] UTF-16BE [] UTF-16LE [峬] UTF-8 [?\] EUC-JP [?] SJIS [?] eucJP-win [?] EUC-JP-2004 [?] SJIS-win [?] SJIS-Mobile#DOCOMO [?] SJIS-Mobile#KDDI [?] SJIS-Mobile#SOFTBANK [?] SJIS-mac [?] SJIS-2004 [瀆] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP932 [?] CP51932 [?] GB18030 [靄] EUC-CN [?] CP936 [靄] EUC-TW [?] BIG-5 [餤] CP950 [餤] EUC-KR [?] UHC [類]
0xED27   0xED5C 0x27   UCS-2 [] UCS-2BE [] UCS-2LE [峭] UTF-16 [] UTF-16BE [] UTF-16LE [峭] UTF-8 [?\] EUC-JP [?] SJIS [?] eucJP-win [?] EUC-JP-2004 [?] SJIS-win [偆] SJIS-Mobile#DOCOMO [偆] SJIS-Mobile#KDDI [偆] SJIS-Mobile#SOFTBANK [偆] SJIS-mac [ ] SJIS-2004 [祥] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP932 [偆] CP51932 [?] GB18030 [韁] EUC-CN [?] CP936 [韁] EUC-TW [?] BIG-5 [燡] CP950 [燡] EUC-KR [?] UHC [罹]
0xEE27   0xEE5C 0x27   UCS-2 [] UCS-2BE [] UCS-2LE [峮] UTF-16 [] UTF-16BE [] UTF-16LE [峮] UTF-8 [?\] EUC-JP [?] SJIS [?] eucJP-win [?] EUC-JP-2004 [?] SJIS-win [砡] SJIS-Mobile#DOCOMO [砡] SJIS-Mobile#KDDI [砡] SJIS-Mobile#SOFTBANK [砡] SJIS-mac [?] SJIS-2004 [薌] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP932 [砡] CP51932 [?] GB18030 [頫] EUC-CN [?] CP936 [頫] EUC-TW [?] BIG-5 [螰] CP950 [螰] EUC-KR [?] UHC [者]
0xEF27   0xEF5C 0x27   UCS-2 [] UCS-2BE [] UCS-2LE [峯] UTF-16 [] UTF-16BE [] UTF-16LE [峯] UTF-8 [?\] EUC-JP [?] SJIS [?] eucJP-win [?] EUC-JP-2004 [?] SJIS-win [?] SJIS-Mobile#DOCOMO [?] SJIS-Mobile#KDDI [?] SJIS-Mobile#SOFTBANK [?] SJIS-mac [?] SJIS-2004 [鍥] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP932 [?] CP51932 [?] GB18030 [颸] EUC-CN [?] CP936 [颸] EUC-TW [?] BIG-5 [駹] CP950 [駹] EUC-KR [?] UHC [咀]
0xF027   0xF05C 0x27   UCS-2 [] UCS-2BE [] UCS-2LE [峰] UTF-16 [] UTF-16BE [] UTF-16LE [峰] UTF-8 [?\] EUC-JP [?] SJIS [?] eucJP-win [?] EUC-JP-2004 [?] SJIS-win [] SJIS-Mobile#DOCOMO [⊠] SJIS-Mobile#KDDI [⊠] SJIS-Mobile#SOFTBANK [⊠] SJIS-mac [?] SJIS-2004 [仱] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP932 [] CP51932 [?] GB18030 [餦] EUC-CN [?] CP936 [餦] EUC-TW [?] BIG-5 [礒] CP950 [礒] EUC-KR [?] UHC [浙]
0xF127   0xF15C 0x27   UCS-2 [] UCS-2BE [] UCS-2LE [峱] UTF-16 [] UTF-16BE [] UTF-16LE [峱] UTF-8 [?\] EUC-JP [?] SJIS [?] eucJP-win [?] EUC-JP-2004 [?] SJIS-win [] SJIS-Mobile#DOCOMO [⍜] SJIS-Mobile#KDDI [⍜] SJIS-Mobile#SOFTBANK [⍜] SJIS-mac [?] SJIS-2004 [劄] UTF-8-Mobile#DOCOMO [?\] UTF-8-Mobile#KDDI-A [?\] UTF-8-Mobile#KDDI-B [?\] UTF-8-Mobile#SOFTBANK [?\] CP932 [] CP51932 [?] GB18030 [馶] EUC-CN [?] CP936 [馶] EUC-TW [?] BIG-5 [鎪] CP950 [鎪] EUC-KR [?] UHC [齊]
