naughty  becomes       charsets
0x4827   0x485C 0x27   UCS-2 [䡜] UCS-2BE [䡜] UCS-2LE [屈] UTF-16 [䡜] UTF-16BE [䡜] UTF-16LE [屈]
0x4927   0x495C 0x27   UCS-2 [䥜] UCS-2BE [䥜] UCS-2LE [屉] UTF-16 [䥜] UTF-16BE [䥜] UTF-16LE [屉]
0x4A27   0x4A5C 0x27   UCS-2 [䩜] UCS-2BE [䩜] UCS-2LE [届] UTF-16 [䩜] UTF-16BE [䩜] UTF-16LE [届]
0x4B27   0x4B5C 0x27   UCS-2 [䭜] UCS-2BE [䭜] UCS-2LE [屋] UTF-16 [䭜] UTF-16BE [䭜] UTF-16LE [屋]
0x4C27   0x4C5C 0x27   UCS-2 [䱜] UCS-2BE [䱜] UCS-2LE [屌] UTF-16 [䱜] UTF-16BE [䱜] UTF-16LE [屌]
0x4D27   0x4D5C 0x27   UCS-2 [䵜] UCS-2BE [䵜] UCS-2LE [屍] UTF-16 [䵜] UTF-16BE [䵜] UTF-16LE [屍]
0x4E27   0x4E5C 0x27   UCS-2 [乜] UCS-2BE [乜] UCS-2LE [屎] UTF-16 [乜] UTF-16BE [乜] UTF-16LE [屎]
0x4F27   0x4F5C 0x27   UCS-2 [作] UCS-2BE [作] UCS-2LE [屏] UTF-16 [作] UTF-16BE [作] UTF-16LE [屏]
0x5027   0x505C 0x27   UCS-2 [停] UCS-2BE [停] UCS-2LE [屐] UTF-16 [停] UTF-16BE [停] UTF-16LE [屐]
0x5127   0x515C 0x27   UCS-2 [兜] UCS-2BE [兜] UCS-2LE [屑] UTF-16 [兜] UTF-16BE [兜] UTF-16LE [屑]
0x5227   0x525C 0x27   UCS-2 [剜] UCS-2BE [剜] UCS-2LE [屒] UTF-16 [剜] UTF-16BE [剜] UTF-16LE [屒]
0x5327   0x535C 0x27   UCS-2 [卜] UCS-2BE [卜] UCS-2LE [屓] UTF-16 [卜] UTF-16BE [卜] UTF-16LE [屓]
0x5427   0x545C 0x27   UCS-2 [呜] UCS-2BE [呜] UCS-2LE [屔] UTF-16 [呜] UTF-16BE [呜] UTF-16LE [屔]
0x5527   0x555C 0x27   UCS-2 [啜] UCS-2BE [啜] UCS-2LE [展] UTF-16 [啜] UTF-16BE [啜] UTF-16LE [展]
0x5627   0x565C 0x27   UCS-2 [噜] UCS-2BE [噜] UCS-2LE [屖] UTF-16 [噜] UTF-16BE [噜] UTF-16LE [屖]
0x5727   0x575C 0x27   UCS-2 [坜] UCS-2BE [坜] UCS-2LE [屗] UTF-16 [坜] UTF-16BE [坜] UTF-16LE [屗]
0x5827   0x585C 0x27   UCS-2 [塜] UCS-2BE [塜] UCS-2LE [屘] UTF-16 [塜] UTF-16BE [塜] UTF-16LE [屘]
0x5927   0x595C 0x27   UCS-2 [奜] UCS-2BE [奜] UCS-2LE [屙] UTF-16 [奜] UTF-16BE [奜] UTF-16LE [屙]
0x5A27   0x5A5C 0x27   UCS-2 [婜] UCS-2BE [婜] UCS-2LE [屚] UTF-16 [婜] UTF-16BE [婜] UTF-16LE [屚]
0x5B27   0x5B5C 0x27   UCS-2 [孜] UCS-2BE [孜] UCS-2LE [屛] UTF-16 [孜] UTF-16BE [孜] UTF-16LE [屛]
0x5C27   0x5C5C 0x27   UCS-2 [屜] UCS-2BE [屜] UCS-2LE [屜] UTF-16 [屜] UTF-16BE [屜] UTF-16LE [屜]
0x5D27   0x5D5C 0x27   UCS-2 [嵜] UCS-2BE [嵜] UCS-2LE [屝] UTF-16 [嵜] UTF-16BE [嵜] UTF-16LE [屝]
0x5E27   0x5E5C 0x27   UCS-2 [幜] UCS-2BE [幜] UCS-2LE [属] UTF-16 [幜] UTF-16BE [幜] UTF-16LE [属]
0x5F27   0x5F5C 0x27   UCS-2 [彜] UCS-2BE [彜] UCS-2LE [屟] UTF-16 [彜] UTF-16BE [彜] UTF-16LE [屟]
0x6027   0x605C 0x27   UCS-2 [恜] UCS-2BE [恜] UCS-2LE [屠] UTF-16 [恜] UTF-16BE [恜] UTF-16LE [屠]
0x6127   0x615C 0x27   UCS-2 [慜] UCS-2BE [慜] UCS-2LE [屡] UTF-16 [慜] UTF-16BE [慜] UTF-16LE [屡]
0x6227   0x625C 0x27   UCS-2 [扜] UCS-2BE [扜] UCS-2LE [屢] UTF-16 [扜] UTF-16BE [扜] UTF-16LE [屢]
0x6327   0x635C 0x27   UCS-2 [捜] UCS-2BE [捜] UCS-2LE [屣] UTF-16 [捜] UTF-16BE [捜] UTF-16LE [屣]
0x6427   0x645C 0x27   UCS-2 [摜] UCS-2BE [摜] UCS-2LE [層] UTF-16 [摜] UTF-16BE [摜] UTF-16LE [層]
0x6527   0x655C 0x27   UCS-2 [敜] UCS-2BE [敜] UCS-2LE [履] UTF-16 [敜] UTF-16BE [敜] UTF-16LE [履]
0x6627   0x665C 0x27   UCS-2 [晜] UCS-2BE [晜] UCS-2LE [屦] UTF-16 [晜] UTF-16BE [晜] UTF-16LE [屦]
0x6727   0x675C 0x27   UCS-2 [杜] UCS-2BE [杜] UCS-2LE [屧] UTF-16 [杜] UTF-16BE [杜] UTF-16LE [屧]
